Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i3-10100T,161,78.3,84,https://cpu.userbenchmark.com/SpeedTest/1260090/IntelR-CoreTM-i3-10100T-CPU---300GHz
CPU,,Intel,Xeon W3690,162,78.2,3161,https://cpu.userbenchmark.com/SpeedTest/9677/IntelR-XeonR-CPU-----------W3690----347GHz
CPU,BX80646I54670K,Intel,Core i5-4670K,163,78,109990,https://cpu.userbenchmark.com/Intel-Core-i5-4670K/Rating/1538
CPU,,Intel,Core i7 X 990,164,77.8,2507,https://cpu.userbenchmark.com/SpeedTest/2590/IntelR-CoreTM-i7-CPU-------X-990----347GHz
CPU,BX80646E31276V3,Intel,Xeon E3-1276 v3,165,77.5,227,https://cpu.userbenchmark.com/SpeedTest/25180/IntelR-XeonR-CPU-E3-1276-v3---360GHz
CPU,CL8068403359524,Intel,Core i7-8750H,166,77.4,318504,https://cpu.userbenchmark.com/SpeedTest/470418/IntelR-CoreTM-i7-8750H-CPU---220GHz
CPU,100-000000083,AMD,Ryzen 7 4700U,167,77.3,7545,https://cpu.userbenchmark.com/SpeedTest/1105478/AMD-Ryzen-7-4700U-with-Radeon-Graphics
CPU,,Intel,Xeon E3-1271 v3,168,77.3,972,https://cpu.userbenchmark.com/SpeedTest/17463/IntelR-XeonR-CPU-E3-1271-v3---360GHz
CPU,YD2600BBAFBOX,AMD,Ryzen 5 2600,169,77.2,585502,https://cpu.userbenchmark.com/AMD-Ryzen-5-2600/Rating/3955
CPU,BX80646I74790,Intel,Core i7-4790,170,77.2,195765,https://cpu.userbenchmark.com/Intel-Core-i7-4790/Rating/2293
CPU,BX80619I73930K,Intel,Core i7-3930K,171,77.1,31021,https://cpu.userbenchmark.com/Intel-Core-i7-3930K/Rating/1487
CPU,CL8068403359725,Intel,Core i7-8850H,172,77.1,13810,https://cpu.userbenchmark.com/SpeedTest/485626/IntelR-CoreTM-i7-8850H-CPU---260GHz
CPU,,Intel,Xeon E3-1275 v3,173,77.1,279,https://cpu.userbenchmark.com/SpeedTest/5652/IntelR-XeonR-CPU-E3-1275-v3---350GHz
CPU,CM8068403362509,Intel,Core i5-8500T,174,77.1,2565,https://cpu.userbenchmark.com/SpeedTest/532888/IntelR-CoreTM-i5-8500T-CPU---210GHz
CPU,BX80637I73770K,Intel,Core i7-3770K,175,77.1,122678,https://cpu.userbenchmark.com/Intel-Core-i7-3770K/Rating/1317
CPU,CL8068403373614,Intel,Core i5-8400H,176,77,860,https://cpu.userbenchmark.com/SpeedTest/524256/IntelR-CoreTM-i5-8400H-CPU---250GHz
CPU,,Intel,Xeon E3-1230 v5,177,77,1552,https://cpu.userbenchmark.com/SpeedTest/72554/IntelR-XeonR-CPU-E3-1230-v5---340GHz
CPU,BX80684I38100,Intel,Core i3-8100,178,76.8,88722,https://cpu.userbenchmark.com/Intel-Core-i3-8100/Rating/3942
CPU,,Intel,Xeon E3-1270 v3,179,76.8,953,https://cpu.userbenchmark.com/SpeedTest/11395/IntelR-XeonR-CPU-E3-1270-v3---350GHz
CPU,BX80637I53570K,Intel,Core i5-3570K,180,76.6,179281,https://cpu.userbenchmark.com/Intel-Core-i5-3570K/Rating/1316
CPU,YD180XBCAEWOF,AMD,Ryzen 7 1800X,181,76.6,67335,https://cpu.userbenchmark.com/AMD-Ryzen-7-1800X/Rating/3916
CPU,,Intel,Xeon X5690,182,76.6,3112,https://cpu.userbenchmark.com/SpeedTest/16752/IntelR-XeonR-CPU-----------X5690----347GHz
CPU,YD299XAZAFWOF,AMD,Ryzen TR 2990WX,183,76.6,2300,https://cpu.userbenchmark.com/SpeedTest/560423/AMD-Ryzen-Threadripper-2990WX-32-Core-Processor
CPU,,AMD,Ryzen 7 4800U,184,76.5,771,https://cpu.userbenchmark.com/SpeedTest/1005639/AMD-Ryzen-7-4800U-with-Radeon-Graphics
CPU,100-100000284BOX,AMD,Ryzen 3 3100,185,76.5,23614,https://cpu.userbenchmark.com/SpeedTest/1148404/AMD-Ryzen-3-3100-4-Core-Processor
CPU,YD192XA8AEWOF,AMD,Ryzen TR 1920X,186,76.4,7193,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1920X/Rating/3934
CPU,BX80646I54690,Intel,Core i5-4690,187,76.3,58805,https://cpu.userbenchmark.com/Intel-Core-i5-4690/Rating/2311
CPU,FH8067703417418,Intel,Core i7-8706G,188,76.3,163,https://cpu.userbenchmark.com/SpeedTest/518066/IntelR-CoreTM-i7-8706G-CPU---310GHz
CPU,,Intel,Xeon W3680,189,76.3,1513,https://cpu.userbenchmark.com/SpeedTest/12335/IntelR-XeonR-CPU-----------W3680----333GHz
CPU,BX80677I57600T,Intel,Core i5-7600T,190,76.2,293,https://cpu.userbenchmark.com/SpeedTest/246226/IntelR-CoreTM-i5-7600T-CPU---280GHz
CPU,YD190XA8AEWOF,AMD,Ryzen TR 1900X,191,76.2,4256,https://cpu.userbenchmark.com/SpeedTest/340638/AMD-Ryzen-Threadripper-1900X-8-Core-Processor
CPU,BX80662I76700,Intel,Core i7-6700,192,76.1,207225,https://cpu.userbenchmark.com/Intel-Core-i7-6700/Rating/3515
CPU,,Intel,Core i7 X 980,193,76.1,5755,https://cpu.userbenchmark.com/SpeedTest/1822/IntelR-CoreTM-i7-CPU-------X-980----333GHz
CPU,,Intel,Core i7 980,194,76.1,1919,https://cpu.userbenchmark.com/SpeedTest/3336/IntelR-CoreTM-i7-CPU---------980----333GHz
CPU,BX80646E31241V3,Intel,Xeon E3-1241 v3,195,75.9,2840,https://cpu.userbenchmark.com/SpeedTest/15164/IntelR-XeonR-CPU-E3-1241-v3---350GHz
CPU,100-000000084,AMD,Ryzen 5 4500U,196,75.8,10919,https://cpu.userbenchmark.com/SpeedTest/1052299/AMD-Ryzen-5-4500U-with-Radeon-Graphics
CPU,,Intel,Core i7-5850HQ,197,75.8,45,https://cpu.userbenchmark.com/SpeedTest/35099/IntelR-CoreTM-i7-5850HQ-CPU---270GHz
CPU,BX80646E31246V3,Intel,Xeon E3-1246 v3,198,75.8,2044,https://cpu.userbenchmark.com/SpeedTest/11023/IntelR-XeonR-CPU-E3-1246-v3---350GHz
CPU,BX80646I74770,Intel,Core i7-4770,199,75.8,132588,https://cpu.userbenchmark.com/Intel-Core-i7-4770/Rating/1978
CPU,BX80701G6600,Intel,Pentium Gold G6600,200,75.8,5,https://cpu.userbenchmark.com/SpeedTest/1454523/IntelR-PentiumR-Gold-G6600-CPU---420GHz
CPU,CM8068403358913,Intel,Core i5-8400T,201,75.7,2586,https://cpu.userbenchmark.com/SpeedTest/475176/IntelR-CoreTM-i5-8400T-CPU---170GHz
CPU,,Intel,Xeon E5-1650 0,202,75.6,6519,https://cpu.userbenchmark.com/SpeedTest/7093/IntelR-XeonR-CPU-E5-1650-0---320GHz
CPU,BX80677I57500,Intel,Core i5-7500,203,75.6,108792,https://cpu.userbenchmark.com/Intel-Core-i5-7500/Rating/3648
CPU,BX80646I74771,Intel,Core i7-4771,204,75.5,8518,https://cpu.userbenchmark.com/Intel-Core-i7-4771/Rating/2008
CPU,YD2700BBAFBOX,AMD,Ryzen 7 2700,205,75.4,119061,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700/Rating/3957
CPU,BX80623I52500K,Intel,Core i5-2500K,206,75.4,133150,https://cpu.userbenchmark.com/Intel-Core-i5-2500K/Rating/619
CPU,,Intel,Core i5-4670,207,75.4,39139,https://cpu.userbenchmark.com/SpeedTest/630/IntelR-CoreTM-i5-4670-CPU---340GHz
CPU,,Intel,Xeon E5-2687W 0,208,75.2,653,https://cpu.userbenchmark.com/SpeedTest/8860/IntelR-XeonR-CPU-E5-2687W-0---310GHz
CPU,,Intel,Core i5-2550K,209,75.2,2239,https://cpu.userbenchmark.com/SpeedTest/5474/IntelR-CoreTM-i5-2550K-CPU---340GHz
CPU,YD1600BBAFBOX,AMD,Ryzen 5 1600AF,210,75.2,44984,https://cpu.userbenchmark.com/SpeedTest/563877/AMD-Ryzen-5-1600-Six-Core-Processor
CPU,FH8068403419522,Intel,Core i5-8259U,211,74.9,1903,https://cpu.userbenchmark.com/SpeedTest/543736/IntelR-CoreTM-i5-8259U-CPU---230GHz
